RANK	SB SCORE	USER	NETWORK	WEBSITE	SUBSCRIBERS	VIDEO VIEWS
83	3,890	B+	랭킹팩토리 Ranking Factory	https://socialblade.com/youtube/user/znbrmzrhfegwwhmqnn8lgw	--	76,056,490
84	3,945	B+	감동 TV	https://socialblade.com/youtube/user/9yjvbwxvvivzy2uf013b8a	106,523	133,746,796
85	4,160	B+	깨비키즈 [KEBIKIDS]	https://socialblade.com/youtube/user/d_-n4vf-tsqbuxrq4crjia	147,800	201,613,270
86	4,161	B+	MariAndFriends	https://socialblade.com/youtube/user/iah4fxl2dq4hmlupsyfiug	515,521	215,889,317
87	4,194	B+	waveya2011	https://socialblade.com/youtube/user/waveya2011	2,255,055	806,504,962
88	4,237	B+	니얼굴윤겔라(geltube)	https://socialblade.com/youtube/user/msjy8effznul-_7dvwe6aw	189,408	72,712,923
89	4,268	B+	삼지애니TV	https://socialblade.com/youtube/user/3dsamg	276,491	349,247,513
90	4,368	B+	2NE1	https://socialblade.com/youtube/user/2ne1	3,616,571	1,303,861,766
91	4,372	B+	스토리 TV	https://socialblade.com/youtube/user/xs1wyqzk1v4thieevla3xq	34,403	29,657,812
92	4,373	B+	홍철 HONGCHUL	https://socialblade.com/youtube/user/is6aowinrn3p7fqqsxnnca	116,815	19,351,368
93	4,448	B+	MUSICWORKSOFFICIAL	https://socialblade.com/youtube/user/musicworksofficial	57,338	5,956,950
94	4,472	B+	GAMST 감스트	https://socialblade.com/youtube/user/bfzvzdu17edz3riealrswq	294,865	161,834,521
95	4,506	B+	러너 꽃빈TV	https://socialblade.com/youtube/user/9jlobznboirt4_iypgrdcw	527,008	243,013,066
96	4,662	B+	sment	https://socialblade.com/youtube/user/sment	1,852,076	1,464,765,926
97	4,693	B+	natgeokorea	https://socialblade.com/youtube/user/natgeokorea	239,502	114,526,005
98	4,742	B+	OGN	https://socialblade.com/youtube/user/tvongamenet	465,174	290,934,592
99	4,796	B+	Today on the Korean Server	https://socialblade.com/youtube/user/65zdjcyi1dwzj48xieuoba	165,332	26,508,657
100	4,818	B+	지노HighlightTV	https://socialblade.com/youtube/user/vabl-cdf8nzex4itx8qbdq	42,148	22,930,872
