2017-06-04 02:07:48,427 processing leve2_url[https://socialblade.com/youtube/user/calvinharrisvevo] , [18] left
2017-06-04 02:07:52,051 processing leve2_url[https://socialblade.com/youtube/user/mountaindew] , [17] left
2017-06-04 02:08:25,766 processing leve2_url[https://socialblade.com/youtube/user/romanatwoodvlogs] , [16] left
2017-06-04 02:08:29,868 processing leve2_url[https://socialblade.com/youtube/user/sonymusicindiavevo] , [15] left
2017-06-04 02:08:33,503 processing leve2_url[https://socialblade.com/youtube/user/ultrarecords] , [14] left
2017-06-04 02:08:38,276 processing leve2_url[https://socialblade.com/youtube/user/7pq3ko42ypkcb_q4e981jw] , [13] left
2017-06-04 02:08:43,141 processing leve2_url[https://socialblade.com/youtube/user/hobbykidstv] , [12] left
2017-06-04 02:08:46,684 processing leve2_url[https://socialblade.com/youtube/user/zidymdattswucgczyzvn6w] , [11] left
2017-06-04 02:08:51,311 processing leve2_url[https://socialblade.com/youtube/user/rzpl8_4fxhefhawbrtxdoq] , [10] left
2017-06-04 02:08:54,625 processing leve2_url[https://socialblade.com/youtube/user/pewdiepie] , [9] left
2017-06-04 02:08:58,627 processing leve2_url[https://socialblade.com/youtube/user/cbstvdinsideedition] , [8] left
2017-06-04 02:09:12,194 processing leve2_url[https://socialblade.com/youtube/user/naodisneytoys] , [7] left
2017-06-04 02:09:14,433 processing leve2_url[https://socialblade.com/youtube/user/bonjovivevo] , [6] left
2017-06-04 02:09:16,371 processing leve2_url[https://socialblade.com/youtube/user/nurseryrhymecorner] , [5] left
2017-06-04 02:09:20,200 processing leve2_url[https://socialblade.com/youtube/user/h6krvmxfbhxaz9kedgw5qg] , [4] left
2017-06-04 02:09:23,658 processing leve2_url[https://socialblade.com/youtube/user/dxi8d8qrsryui2eryjyb-w] , [3] left
2017-06-04 02:09:27,808 processing leve2_url[https://socialblade.com/youtube/user/jimmykimmellive] , [2] left
2017-06-04 02:09:32,668 processing leve2_url[https://socialblade.com/youtube/user/americasgottalent] , [1] left
2017-06-04 02:09:38,051 processing domain[socialblade] hub [https://socialblade.com/youtube/top/5000], [5] left
2017-06-04 08:58:37,595 processing detail [https://socialblade.com/youtube/top/5000], [0] left
2017-06-04 08:59:30,618 processing leve2_url[https://socialblade.com/youtube/user/stromaevevo] , [5000] left
2017-06-04 08:59:34,697 processing leve2_url[https://socialblade.com/youtube/user/3doorsdownvevo] , [4999] left
